datetime,temp,discharge,flag
10/1/2016,3.7,2370,A
10/2/2016,4.7,2330,A
10/3/2016,5.4,2340,A
10/4/2016,4.9,2310,A
10/5/2016,3.7,2240,A
10/6/2016,2.6,2120,A
10/7/2016,2.1,2020,A
10/8/2016,1.6,1970,A
10/9/2016,1.6,1930,A
10/10/2016,2.4,1900,A
10/11/2016,2.3,1900,A
10/12/2016,2.1,1850,A
10/13/2016,2,1820,A
10/14/2016,1.8,1800,A
10/15/2016,0.6,1730,A:e
10/16/2016,0.6,1620,A:e
10/17/2016,1.8,1550,A:e
10/18/2016,2.5,1500,A:e
10/19/2016,1.6,1450,A:e
10/20/2016,0.4,1400,A:e
10/21/2016,0.8,1360,A:e
10/22/2016,0.4,1320,A:e
10/23/2016,0.3,1280,A:e
10/24/2016,1.7,1240,A:e
10/25/2016,2,1220,A:e
10/26/2016,1.8,1200,A:e
10/27/2016,1.8,1180,A:e
10/28/2016,1.6,1170,A:e
10/29/2016,0.5,1150,A:e
10/30/2016,1.3,1140,A:e
10/31/2016,1.3,1130,A:e
11/1/2016,0.8,1120,A:e
11/2/2016,0.4,1100,A:e
11/3/2016,0.1,1090,A:e
11/4/2016,0.1,1090,A:e
11/5/2016,0.1,1080,A:e
11/6/2016,0.1,1070,A:e
11/7/2016,0.1,1060,A:e
11/8/2016,0.2,1060,A:e
11/9/2016,0.3,1050,A:e
11/10/2016,0.7,1050,A:e
11/11/2016,0.6,1040,A:e
11/12/2016,0.6,1030,A:e
11/13/2016,0.9,1030,A:e
11/14/2016,0.4,1020,A:e
11/15/2016,0.2,1010,A:e
11/16/2016,0.1,1000,A:e
11/17/2016,0.1,996,A:e
11/18/2016,0.1,990,A:e
11/19/2016,0.1,982,A:e
11/20/2016,0.2,975,A:e
11/21/2016,,967,A:e
11/22/2016,,959,A:e
11/23/2016,,952,A:e
11/24/2016,,945,A:e
11/25/2016,,941,A:e
11/26/2016,,936,A:e
11/27/2016,,929,A:e
11/28/2016,,922,A:e
11/29/2016,,918,A:e
11/30/2016,,915,A:e
12/1/2016,,909,A:e
12/2/2016,,903,A:e
12/3/2016,,900,A:e
12/4/2016,,897,A:e
12/5/2016,,893,A:e
12/6/2016,,889,A:e
12/7/2016,,885,A:e
12/8/2016,,881,A:e
12/9/2016,,875,A:e
12/10/2016,,871,A:e
12/11/2016,,869,A:e
12/12/2016,,866,A:e
12/13/2016,,863,A:e
12/14/2016,,861,A:e
12/15/2016,,857,A:e
12/16/2016,,854,A:e
12/17/2016,,850,A:e
12/18/2016,,846,A:e
12/19/2016,,842,A:e
12/20/2016,,838,A:e
12/21/2016,,835,A:e
12/22/2016,,832,A:e
12/23/2016,,828,A:e
12/24/2016,,824,A:e
12/25/2016,,820,A:e
12/26/2016,,816,A:e
12/27/2016,,816,A:e
12/28/2016,,816,A:e
12/29/2016,,815,A:e
12/30/2016,,813,A:e
12/31/2016,,811,A:e
1/1/2017,,809,A:e
1/2/2017,,807,A:e
1/3/2017,,803,A:e
1/4/2017,,799,A:e
1/5/2017,,796,A:e
1/6/2017,,794,A:e
1/7/2017,,791,A:e
1/8/2017,,788,A:e
1/9/2017,,784,A:e
1/10/2017,,778,A:e
1/11/2017,,775,A:e
1/12/2017,,772,A:e
1/13/2017,,769,A:e
1/14/2017,,766,A:e
1/15/2017,,763,A:e
1/16/2017,,761,A:e
1/17/2017,,758,A:e
1/18/2017,,755,A:e
1/19/2017,,752,A:e
1/20/2017,,748,A:e
1/21/2017,,744,A:e
1/22/2017,,739,A:e
1/23/2017,,735,A:e
1/24/2017,,731,A:e
1/25/2017,,726,A:e
1/26/2017,,722,A:e
1/27/2017,,717,A:e
