datetime,discharge,flag
4/1/2016,245,A
4/2/2016,247,A
4/3/2016,337,A
4/4/2016,470,A
4/5/2016,497,A
4/6/2016,483,A
4/7/2016,471,A
4/8/2016,436,A
4/9/2016,391,A
4/10/2016,348,A
4/11/2016,310,A
4/12/2016,277,A
4/13/2016,254,A
4/14/2016,237,A
4/15/2016,223,A
4/16/2016,209,A
4/17/2016,194,A
4/18/2016,183,A
4/19/2016,173,A
4/20/2016,163,A
4/21/2016,153,A
4/22/2016,146,A
4/23/2016,154,A
4/24/2016,162,A
4/25/2016,167,A
4/26/2016,169,A
4/27/2016,166,A
4/28/2016,158,A
4/29/2016,152,A
4/30/2016,144,A
5/1/2016,136,A
5/2/2016,129,A
5/3/2016,124,A
5/4/2016,119,A
5/5/2016,112,A
5/6/2016,104,A
5/7/2016,99.2,A
5/8/2016,95.2,A
5/9/2016,91.8,A
5/10/2016,88.9,A
5/11/2016,86.6,A
5/12/2016,84.4,A
5/13/2016,82.4,A
5/14/2016,79.5,A
5/15/2016,76,A
5/16/2016,73.2,A
5/17/2016,77.9,A
5/18/2016,135,A
5/19/2016,152,A
5/20/2016,174,A
5/21/2016,202,A
5/22/2016,221,A
5/23/2016,232,A
5/24/2016,225,A
5/25/2016,208,A
5/26/2016,193,A
5/27/2016,177,A
5/28/2016,161,A
5/29/2016,145,A
5/30/2016,133,A
5/31/2016,122,A
6/1/2016,112,A
6/2/2016,106,A
6/3/2016,101,A
6/4/2016,95.5,A
6/5/2016,92.5,A
6/6/2016,93.6,A
6/7/2016,112,A
6/8/2016,161,A
6/9/2016,223,A
6/10/2016,284,A
6/11/2016,301,A
6/12/2016,302,A
6/13/2016,330,A
6/14/2016,379,A
6/15/2016,405,A
6/16/2016,377,A
6/17/2016,337,A
6/18/2016,318,A
6/19/2016,318,A
6/20/2016,331,A
6/21/2016,362,A
6/22/2016,368,A
6/23/2016,356,A
6/24/2016,335,A
6/25/2016,311,A
6/26/2016,283,A
6/27/2016,259,A
6/28/2016,240,A
6/29/2016,209,A
6/30/2016,179,A
7/1/2016,163,A
7/2/2016,154,A
7/3/2016,143,A
7/4/2016,136,A
7/5/2016,130,A
7/6/2016,125,A
7/7/2016,120,A
7/8/2016,114,A
7/9/2016,108,A
7/10/2016,102,A
7/11/2016,96.5,A
7/12/2016,93,A
7/13/2016,92.2,A
7/14/2016,93.3,A
7/15/2016,98.8,A
7/16/2016,112,A
7/17/2016,148,A
7/18/2016,171,A
7/19/2016,166,A
7/20/2016,151,A
7/21/2016,134,A
7/22/2016,119,A
7/23/2016,111,A
7/24/2016,102,A
7/25/2016,95.9,A
7/26/2016,94.6,A
7/27/2016,94.4,A
7/28/2016,91.3,A
7/29/2016,87,A
7/30/2016,83.3,A
7/31/2016,80.2,A
8/1/2016,79.3,A
8/2/2016,77.4,A
8/3/2016,75.8,A
8/4/2016,74.1,A
8/5/2016,72.8,A
8/6/2016,80.5,A
8/7/2016,99.4,A
8/8/2016,101,A
8/9/2016,103,A
8/10/2016,113,A
8/11/2016,127,A
8/12/2016,150,A
8/13/2016,172,A
8/14/2016,214,A
8/15/2016,273,A
8/16/2016,305,A
8/17/2016,364,A
8/18/2016,442,A
8/19/2016,445,A
8/20/2016,402,A
8/21/2016,340,A
8/22/2016,289,A
8/23/2016,251,A
8/24/2016,240,A
8/25/2016,230,A
8/26/2016,223,A
8/27/2016,216,A
8/28/2016,208,A
8/29/2016,205,A
8/30/2016,192,A
8/31/2016,176,A
9/1/2016,162,A
9/2/2016,210,A
9/3/2016,350,A
9/4/2016,592,A
9/5/2016,1030,A
9/6/2016,1380,A
9/7/2016,1310,A
9/8/2016,1220,A
9/9/2016,1080,A
9/10/2016,911,A
9/11/2016,761,A
9/12/2016,632,A
9/13/2016,534,A
9/14/2016,476,A
9/15/2016,433,A
9/16/2016,391,A
9/17/2016,359,A
9/18/2016,336,A
9/19/2016,314,A
9/20/2016,292,A
9/21/2016,283,A
9/22/2016,285,A
9/23/2016,279,A
9/24/2016,277,A
9/25/2016,275,A
9/26/2016,263,A
9/27/2016,246,A
9/28/2016,225,A
9/29/2016,207,A
9/30/2016,193,A
10/1/2016,179,A
10/2/2016,169,A
10/3/2016,160,A
10/4/2016,150,A
10/5/2016,140,A
10/6/2016,134,A
10/7/2016,135,A
10/8/2016,132,A
10/9/2016,137,A
10/10/2016,142,A
10/11/2016,148,A
