LocalDateTime,DataValue
4/1/2016,-9999
4/2/2016,-9999
4/3/2016,-9999
4/4/2016,-9999
4/5/2016,-9999
4/6/2016,-9999
4/7/2016,-9999
4/8/2016,-9999
4/9/2016,-9999
4/10/2016,-9999
4/11/2016,-9999
4/12/2016,-9999
4/13/2016,-9999
4/14/2016,-9999
4/15/2016,-9999
4/16/2016,-9999
4/17/2016,-9999
4/18/2016,-9999
4/19/2016,-9999
4/20/2016,-9999
4/21/2016,-9999
4/22/2016,-9999
4/23/2016,-9999
4/24/2016,-9999
4/25/2016,0
4/26/2016,0
4/27/2016,1.5
4/28/2016,0
4/29/2016,0
4/30/2016,0
5/1/2016,19.3
5/2/2016,-9999
5/3/2016,0
5/4/2016,0
5/5/2016,0
5/6/2016,0
5/7/2016,0
5/8/2016,0
5/9/2016,-9999
5/10/2016,-9999
5/11/2016,-9999
5/12/2016,-9999
5/13/2016,-9999
5/14/2016,-9999
5/15/2016,-9999
5/16/2016,-9999
5/17/2016,0
5/18/2016,39.1
5/19/2016,0
5/20/2016,37.3
5/21/2016,15
5/22/2016,0
5/23/2016,0
5/24/2016,0
5/25/2016,0
5/26/2016,0
5/27/2016,0
5/28/2016,-9999
5/29/2016,0
5/30/2016,-9999
5/31/2016,0
6/1/2016,-9999
6/2/2016,34
6/3/2016,-9999
6/4/2016,0
6/5/2016,-9999
6/6/2016,15
6/7/2016,69.3
6/8/2016,0
6/9/2016,-9999
6/10/2016,0
6/11/2016,9.9
6/12/2016,-9999
6/13/2016,3.3
6/14/2016,48
6/15/2016,0
6/16/2016,0
6/17/2016,0
6/18/2016,9.9
6/19/2016,56.4
6/20/2016,-9999
6/21/2016,0
6/22/2016,-9999
6/23/2016,0
6/24/2016,-9999
6/25/2016,0
6/26/2016,0
6/27/2016,-9999
6/28/2016,5.6
6/29/2016,-9999
6/30/2016,-9999
7/1/2016,11.7
7/2/2016,0
7/3/2016,15.7
7/4/2016,-9999
7/5/2016,-9999
7/6/2016,0
7/7/2016,-9999
7/8/2016,-9999
7/9/2016,0
7/10/2016,0
7/11/2016,0
7/12/2016,0
7/13/2016,23.9
7/14/2016,-9999
7/15/2016,20.3
7/16/2016,5.6
7/17/2016,56.4
7/18/2016,3.8
7/19/2016,0
7/20/2016,-9999
7/21/2016,0
7/22/2016,0
7/23/2016,-9999
7/24/2016,2
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016,-9999
7/29/2016,-9999
7/30/2016,0
7/31/2016,0
8/1/2016,21.3
8/2/2016,-9999
8/3/2016,0
8/4/2016,0
8/5/2016,0
8/6/2016,-9999
8/7/2016,5.6
8/8/2016,20.6
8/9/2016,12.4
8/10/2016,2.5
8/11/2016,39.9
8/12/2016,-9999
8/13/2016,-9999
8/14/2016,1.5
8/15/2016,-9999
8/16/2016,-9999
8/17/2016,0.5
8/18/2016,-9999
8/19/2016,-9999
8/20/2016,3.8
8/21/2016,0.3
8/22/2016,0
8/23/2016,-9999
8/24/2016,-9999
8/25/2016,0
8/26/2016,0
8/27/2016,0
8/28/2016,0
8/29/2016,3.6
8/30/2016,10.9
8/31/2016,0.5
9/1/2016,4.6
9/2/2016,85.1
9/3/2016,3.6
9/4/2016,8.1
9/5/2016,29
9/6/2016,-9999
9/7/2016,-9999
9/8/2016,-9999
9/9/2016,0
9/10/2016,-9999
9/11/2016,-9999
9/12/2016,-9999
9/13/2016,-9999
9/14/2016,-9999
9/15/2016,-9999
9/16/2016,-9999
9/17/2016,-9999
9/18/2016,-9999
9/19/2016,-9999
9/20/2016,-9999
9/21/2016,-9999
9/22/2016,0
9/23/2016,-9999
9/24/2016,-9999
9/25/2016,-9999
9/26/2016,6.4
9/27/2016,0
9/28/2016,3.8
9/29/2016,0
9/30/2016,0
10/1/2016,-9999
10/2/2016,-9999
10/3/2016,0
10/4/2016,-9999
10/5/2016,0
10/6/2016,-9999
10/7/2016,6.6
10/8/2016,15.5
10/9/2016,-9999
10/10/2016,0
10/11/2016,-9999
10/12/2016,0
10/13/2016,-9999
10/14/2016,0
10/15/2016,0
10/16/2016,0
10/17/2016,-9999
10/18/2016,5.3
10/19/2016,0
10/20/2016,-9999
10/21/2016,0
10/22/2016,-9999
10/23/2016,-9999
10/24/2016,0
10/25/2016,-9999
10/26/2016,-9999
10/27/2016,0
10/28/2016,-9999
10/29/2016,-9999
10/30/2016,-9999
10/31/2016,-9999
11/1/2016,-9999
11/2/2016,0
11/3/2016,0
11/4/2016,-9999
11/5/2016,-9999
11/6/2016,-9999
11/7/2016,0
11/8/2016,-9999
11/9/2016,0.5
11/10/2016,-9999
11/11/2016,-9999
11/12/2016,-9999
11/13/2016,-9999
11/14/2016,0
11/15/2016,0
11/16/2016,0
11/17/2016,-9999
11/18/2016,0
11/19/2016,-9999
11/20/2016,-9999
11/21/2016,-9999
11/22/2016,0
11/23/2016,0
11/24/2016,-9999
11/25/2016,-9999
11/26/2016,-9999
11/27/2016,-9999
11/28/2016,-9999
11/29/2016,-9999
11/30/2016,-9999
12/1/2016,6.4
12/2/2016,-9999
12/3/2016,-9999
12/4/2016,0
12/5/2016,0
12/6/2016,51.8
12/7/2016,44.2
12/8/2016,0
12/9/2016,-9999
12/10/2016,0
12/11/2016,-9999
12/12/2016,0
12/13/2016,-9999
12/14/2016,-9999
12/15/2016,0
12/16/2016,0
12/17/2016,-9999
12/18/2016,-9999
12/19/2016,2.5
12/20/2016,-9999
12/21/2016,1.8
12/22/2016,-9999
12/23/2016,-9999
12/24/2016,-9999
12/25/2016,-9999
12/26/2016,3.8
12/27/2016,-9999
12/28/2016,0
12/29/2016,-9999
12/30/2016,3.3
12/31/2016,-9999
1/1/2017,-9999
1/2/2017,-9999
1/3/2017,3.8
1/4/2017,48.5
1/5/2017,0
1/6/2017,0
1/7/2017,20.6
1/8/2017,0
1/9/2017,0
1/10/2017,-9999
1/11/2017,0
1/12/2017,0
1/13/2017,-9999
1/14/2017,0
1/15/2017,1.8
1/16/2017,-9999
1/17/2017,0
1/18/2017,0
1/19/2017,0
1/20/2017,-9999
1/21/2017,0
1/22/2017,0
1/23/2017,11.9
1/24/2017,0
1/25/2017,0
1/26/2017,0
1/27/2017,-9999
1/28/2017,-9999
1/29/2017,3
1/30/2017,-9999
1/31/2017,-9999
2/1/2017,0
2/2/2017,-9999
2/3/2017,-9999
2/4/2017,-9999
2/5/2017,0
2/6/2017,0
2/7/2017,-9999
2/8/2017,23.9
2/9/2017,-9999
2/10/2017,0
2/11/2017,0
2/12/2017,0
2/13/2017,-9999
2/14/2017,-9999
2/15/2017,0
2/16/2017,1
2/17/2017,-9999
2/18/2017,-9999
2/19/2017,5.1
2/20/2017,-9999
2/21/2017,0
2/22/2017,0
2/23/2017,5.6
2/24/2017,1
2/25/2017,-9999
2/26/2017,0
2/27/2017,0
2/28/2017,0
3/1/2017,-9999
3/2/2017,0
3/3/2017,6.9
3/4/2017,-9999
3/5/2017,-9999
3/6/2017,-9999
3/7/2017,-9999
3/8/2017,-9999
3/9/2017,0
3/10/2017,0
3/11/2017,0
3/12/2017,0
3/13/2017,-9999
3/14/2017,9.4
3/15/2017,0
3/16/2017,-9999
3/17/2017,0
3/18/2017,-9999
3/19/2017,0
3/20/2017,-9999
3/21/2017,0
3/22/2017,0
3/23/2017,0
3/24/2017,-9999
3/25/2017,-9999
3/26/2017,0
3/27/2017,-9999
3/28/2017,-9999
3/29/2017,0
3/30/2017,0
3/31/2017,0
4/1/2017,0
4/2/2017,-9999
4/3/2017,-9999
4/4/2017,61.2
4/5/2017,33.3
4/6/2017,23.1
4/7/2017,0
4/8/2017,-9999
4/9/2017,-9999
4/10/2017,-9999
4/11/2017,-9999
4/12/2017,-9999
4/13/2017,0
4/14/2017,0
4/15/2017,0
4/16/2017,0
4/17/2017,0
4/18/2017,0
4/19/2017,0
4/20/2017,-9999
4/21/2017,-9999
4/22/2017,-9999
4/23/2017,0
4/24/2017,0
4/25/2017,-9999
4/26/2017,-9999
4/27/2017,-9999
4/28/2017,0
4/29/2017,-9999
4/30/2017,0
5/1/2017,-9999
5/2/2017,-9999
5/3/2017,-9999
5/4/2017,-9999
5/5/2017,-9999
5/6/2017,-9999
5/7/2017,-9999
5/8/2017,-9999
5/9/2017,-9999
5/10/2017,-9999
5/11/2017,0
5/12/2017,-9999
5/13/2017,0
5/14/2017,13.7
5/15/2017,0
5/16/2017,0
5/17/2017,0
5/18/2017,-9999
5/19/2017,0
5/20/2017,0
5/21/2017,0
5/22/2017,8.4
5/23/2017,0.3
5/24/2017,17.8
5/25/2017,23.1
5/26/2017,-9999
5/27/2017,0
5/28/2017,0
5/29/2017,-9999
5/30/2017,-9999
5/31/2017,10.7
6/1/2017,0
6/2/2017,1
6/3/2017,-9999
6/4/2017,0
6/5/2017,11.9
6/6/2017,0
6/7/2017,83.8
6/8/2017,20.6
6/9/2017,5.1
6/10/2017,-9999
6/11/2017,0
6/12/2017,15.5
6/13/2017,3.3
6/14/2017,0.5
6/15/2017,3.8
6/16/2017,1.3
6/17/2017,0
6/18/2017,5.8
6/19/2017,9.7
6/20/2017,20.6
6/21/2017,5.8
6/22/2017,4.3
6/23/2017,7.6
6/24/2017,4.6
6/25/2017,0
6/26/2017,0
6/27/2017,-9999
6/28/2017,-9999
6/29/2017,30.7
6/30/2017,0
7/1/2017,-9999
7/2/2017,-9999
7/3/2017,-9999
7/4/2017,0
7/5/2017,-9999
7/6/2017,-9999
7/7/2017,-9999
7/8/2017,-9999
7/9/2017,-9999
7/10/2017,-9999
7/11/2017,6.9
7/12/2017,-9999
7/13/2017,-9999
7/14/2017,-9999
7/15/2017,-9999
7/16/2017,-9999
7/17/2017,5.3
7/18/2017,6.4
7/19/2017,1.8
7/20/2017,4.3
7/21/2017,-9999
7/22/2017,-9999
7/23/2017,39.1
7/24/2017,0
7/25/2017,-9999
7/26/2017,-9999
7/27/2017,-9999
7/28/2017,-9999
7/29/2017,-9999
7/30/2017,29.7
7/31/2017,12.4
8/1/2017,0
8/2/2017,0
8/3/2017,8.4
8/4/2017,27.2
8/5/2017,-9999
8/6/2017,-9999
8/7/2017,5.3
8/8/2017,3
8/9/2017,0
8/10/2017,11.4
8/11/2017,0
8/12/2017,-9999
8/13/2017,0
8/14/2017,2.3
8/15/2017,-9999
8/16/2017,8.4
8/17/2017,0
8/18/2017,-9999
8/19/2017,113
8/20/2017,1.8
8/21/2017,22.1
8/22/2017,0
8/23/2017,0
8/24/2017,11.4
8/25/2017,24.6
8/26/2017,0
8/27/2017,-9999
8/28/2017,2.8
8/29/2017,-9999
8/30/2017,8.4
8/31/2017,1.8
9/1/2017,-9999
9/2/2017,13
9/3/2017,-9999
9/4/2017,0
9/5/2017,-9999
9/6/2017,-9999
9/7/2017,13
9/8/2017,-9999
9/9/2017,1.8
9/10/2017,6.9
9/11/2017,279.4
9/12/2017,0.8
9/13/2017,-9999
9/14/2017,0
9/15/2017,-9999
9/16/2017,2
9/17/2017,-9999
9/18/2017,0
9/19/2017,0
9/20/2017,0
9/21/2017,0
9/22/2017,0
9/23/2017,-9999
9/24/2017,0
9/25/2017,0.8
9/26/2017,0
9/27/2017,-9999
9/28/2017,0
9/29/2017,-9999
9/30/2017,0
10/1/2017,5.6
10/2/2017,23.1
10/3/2017,-9999
10/4/2017,0
10/5/2017,-9999
10/6/2017,3
10/7/2017,0
10/8/2017,-9999
10/9/2017,4.3
10/10/2017,0
10/11/2017,-9999
10/12/2017,-9999
10/13/2017,0
10/14/2017,-9999
10/15/2017,0
10/16/2017,0
10/17/2017,-9999
10/18/2017,-9999
10/19/2017,-9999
10/20/2017,0
10/21/2017,0
10/22/2017,-9999
10/23/2017,0
10/24/2017,-9999
10/25/2017,0
10/26/2017,0
10/27/2017,-9999
10/28/2017,0
10/29/2017,0
10/30/2017,-9999
10/31/2017,-9999
11/1/2017,-9999
11/2/2017,0
11/3/2017,0
11/4/2017,0
11/5/2017,0
11/6/2017,-9999
11/7/2017,-9999
11/8/2017,0
11/9/2017,0
11/10/2017,-9999
11/11/2017,-9999
11/12/2017,0
11/13/2017,-9999
11/14/2017,-9999
11/15/2017,-9999
11/16/2017,-9999
11/17/2017,-9999
11/18/2017,0
11/19/2017,-9999
11/20/2017,2.5
11/21/2017,0
11/22/2017,15.5
11/23/2017,41.7
11/24/2017,14.7
11/25/2017,0
11/26/2017,-9999
11/27/2017,0
11/28/2017,0
11/29/2017,-9999
11/30/2017,0
12/1/2017,0
12/2/2017,-9999
12/3/2017,-9999
12/4/2017,0
12/5/2017,0
12/6/2017,0
12/7/2017,5.6
12/8/2017,18.8
12/9/2017,40.9
12/10/2017,0
12/11/2017,0
12/12/2017,-9999
12/13/2017,-9999
12/14/2017,-9999
12/15/2017,-9999
12/16/2017,-9999
12/17/2017,0
12/18/2017,0
12/19/2017,0
12/20/2017,-9999
12/21/2017,-9999
12/22/2017,-9999
12/23/2017,-9999
12/24/2017,-9999
12/25/2017,-9999
12/26/2017,-9999
12/27/2017,-9999
12/28/2017,4.6
12/29/2017,-9999
12/30/2017,-9999
12/31/2017,-9999
1/1/2018,-9999
1/2/2018,1
1/3/2018,5.1
1/4/2018,17.8
1/5/2018,0
1/6/2018,0
1/7/2018,0
1/8/2018,0
1/9/2018,0
1/10/2018,2.3
1/11/2018,0
1/12/2018,1.5
1/13/2018,3.3
1/14/2018,0
1/15/2018,-9999
1/16/2018,-9999
1/17/2018,-9999
1/18/2018,0
1/19/2018,-9999
1/20/2018,0
1/21/2018,0
1/22/2018,0
1/23/2018,32.8
1/24/2018,0
1/25/2018,-9999
1/26/2018,0
1/27/2018,-9999
1/28/2018,0
1/29/2018,33
1/30/2018,-9999
1/31/2018,-9999
2/1/2018,0
2/2/2018,0
2/3/2018,-9999
2/4/2018,0
2/5/2018,23.6
2/6/2018,0
2/7/2018,0
2/8/2018,-9999
2/9/2018,0.8
2/10/2018,-9999
2/11/2018,0
2/12/2018,8.4
2/13/2018,3
2/14/2018,-9999
2/15/2018,-9999
2/16/2018,-9999
2/17/2018,0
2/18/2018,-9999
2/19/2018,0
2/20/2018,0
2/21/2018,-9999
2/22/2018,0
2/23/2018,-9999
2/24/2018,-9999
2/25/2018,-9999
2/26/2018,-9999
2/27/2018,4.3
2/28/2018,-9999
3/1/2018,-9999
3/2/2018,3.3
3/3/2018,-9999
3/4/2018,0
3/5/2018,0
3/6/2018,-9999
3/7/2018,6.9
3/8/2018,0
3/9/2018,0
3/10/2018,0
3/11/2018,0
3/12/2018,3.3
3/13/2018,0
3/14/2018,-9999
3/15/2018,0
3/16/2018,0
3/17/2018,0
3/18/2018,-9999
3/19/2018,27.2
3/20/2018,-9999
3/21/2018,0
3/22/2018,0
3/23/2018,0
3/24/2018,-9999
3/25/2018,-9999
3/26/2018,-9999
3/27/2018,-9999
3/28/2018,-9999
3/29/2018,0
3/30/2018,0
3/31/2018,-9999
4/1/2018,-9999
4/2/2018,-9999
4/3/2018,0
4/4/2018,0
4/5/2018,7.1
4/6/2018,-9999
