datetime,discharge,flag,precip
2016-04-01,245.0,A,0.0
2016-04-02,247.0,A,0.0
2016-04-03,337.0,A,0.0
2016-04-04,470.0,A,0.0
2016-04-05,497.0,A,0.0
2016-04-06,483.0,A,0.0
2016-04-07,471.0,A,0.0
2016-04-08,436.0,A,0.0
2016-04-09,391.0,A,0.0
2016-04-10,348.0,A,0.0
2016-04-11,310.0,A,0.0
2016-04-12,277.0,A,0.0
2016-04-13,254.0,A,0.0
2016-04-14,237.0,A,0.0
2016-04-15,223.0,A,0.0
2016-04-16,209.0,A,0.0
2016-04-17,194.0,A,0.0
2016-04-18,183.0,A,0.0
2016-04-19,173.0,A,0.0
2016-04-20,163.0,A,0.0
2016-04-21,153.0,A,0.0
2016-04-22,146.0,A,0.0
2016-04-23,154.0,A,0.0
2016-04-24,162.0,A,0.0
2016-04-25,167.0,A,0.0
2016-04-26,169.0,A,0.0
2016-04-27,166.0,A,1.5
2016-04-28,158.0,A,0.0
2016-04-29,152.0,A,0.0
2016-04-30,144.0,A,0.0
2016-05-01,136.0,A,19.3
2016-05-02,129.0,A,0.0
2016-05-03,124.0,A,0.0
2016-05-04,119.0,A,0.0
2016-05-05,112.0,A,0.0
2016-05-06,104.0,A,0.0
2016-05-07,99.2,A,0.0
2016-05-08,95.2,A,0.0
2016-05-09,91.8,A,0.0
2016-05-10,88.9,A,0.0
2016-05-11,86.6,A,0.0
2016-05-12,84.4,A,0.0
2016-05-13,82.4,A,0.0
2016-05-14,79.5,A,0.0
2016-05-15,76.0,A,0.0
2016-05-16,73.2,A,0.0
2016-05-17,77.9,A,0.0
2016-05-18,135.0,A,39.1
2016-05-19,152.0,A,0.0
2016-05-20,174.0,A,37.3
2016-05-21,202.0,A,15.0
2016-05-22,221.0,A,0.0
2016-05-23,232.0,A,0.0
2016-05-24,225.0,A,0.0
2016-05-25,208.0,A,0.0
2016-05-26,193.0,A,0.0
2016-05-27,177.0,A,0.0
2016-05-28,161.0,A,0.0
2016-05-29,145.0,A,0.0
2016-05-30,133.0,A,0.0
2016-05-31,122.0,A,0.0
2016-06-01,112.0,A,0.0
2016-06-02,106.0,A,34.0
2016-06-03,101.0,A,0.0
2016-06-04,95.5,A,0.0
2016-06-05,92.5,A,0.0
2016-06-06,93.6,A,15.0
2016-06-07,112.0,A,69.3
2016-06-08,161.0,A,0.0
2016-06-09,223.0,A,0.0
2016-06-10,284.0,A,0.0
2016-06-11,301.0,A,9.9
2016-06-12,302.0,A,0.0
2016-06-13,330.0,A,3.3
2016-06-14,379.0,A,48.0
2016-06-15,405.0,A,0.0
2016-06-16,377.0,A,0.0
2016-06-17,337.0,A,0.0
2016-06-18,318.0,A,9.9
2016-06-19,318.0,A,56.4
2016-06-20,331.0,A,0.0
2016-06-21,362.0,A,0.0
2016-06-22,368.0,A,0.0
2016-06-23,356.0,A,0.0
2016-06-24,335.0,A,0.0
2016-06-25,311.0,A,0.0
2016-06-26,283.0,A,0.0
2016-06-27,259.0,A,0.0
2016-06-28,240.0,A,5.6
2016-06-29,209.0,A,0.0
2016-06-30,179.0,A,0.0
2016-07-01,163.0,A,11.7
2016-07-02,154.0,A,0.0
2016-07-03,143.0,A,15.7
2016-07-04,136.0,A,0.0
2016-07-05,130.0,A,0.0
2016-07-06,125.0,A,0.0
2016-07-07,120.0,A,0.0
2016-07-08,114.0,A,0.0
2016-07-09,108.0,A,0.0
2016-07-10,102.0,A,0.0
2016-07-11,96.5,A,0.0
2016-07-12,93.0,A,0.0
2016-07-13,92.2,A,23.9
