datetime,discharge,flag
2015-08-01,64.3,A
2015-08-02,221.0,A
2015-08-03,756.0,A
2015-08-04,154.0,A
2015-08-05,78.8,A
2015-08-06,53.6,A
2015-08-07,190.0,A
2015-08-08,97.9,A
2015-08-09,54.4,A
2015-08-10,42.0,A
2015-08-11,57.5,A
2015-08-12,82.9,A
2015-08-13,1180.0,A
2015-08-14,1020.0,A
2015-08-15,288.0,A
2015-08-16,115.0,A
2015-08-17,157.0,A
2015-08-18,94.6,A
2015-08-19,126.0,A
2015-08-20,126.0,A
2015-08-21,86.0,A
2015-08-22,544.0,A
2015-08-23,99.2,A
2015-08-24,211.0,A
2015-08-25,501.0,A
2015-08-26,136.0,A
2015-08-27,67.6,A
2015-08-28,52.2,A
2015-08-29,43.4,A
2015-08-30,38.1,A
2015-08-31,33.6,A
2015-09-01,29.2,A
2015-09-02,245.0,A
2015-09-03,91.1,A
2015-09-04,40.3,A
2015-09-05,31.1,A
2015-09-06,29.1,A
2015-09-07,27.6,A
2015-09-08,25.1,A
2015-09-09,25.4,A
2015-09-10,27.9,A
2015-09-11,51.4,A
2015-09-12,208.0,A
2015-09-13,610.0,A
2015-09-14,133.0,A
2015-09-15,547.0,A
2015-09-16,203.0,A
2015-09-17,165.0,A
2015-09-18,167.0,A
2015-09-19,103.0,A
2015-09-20,1490.0,A
2015-09-21,1720.0,A
2015-09-22,170.0,A
2015-09-23,99.1,A
2015-09-24,72.7,A
2015-09-25,581.0,A
2015-09-26,1470.0,A
2015-09-27,1450.0,A
2015-09-28,782.0,A
2015-09-29,195.0,A
2015-09-30,327.0,A
2015-10-01,102.0,A
2015-10-02,70.6,A
2015-10-03,179.0,A
2015-10-04,612.0,A
2015-10-05,90.3,A
2015-10-06,62.9,A
2015-10-07,50.3,A
2015-10-08,43.4,A
2015-10-09,38.7,A
2015-10-10,72.5,A
2015-10-11,369.0,A
2015-10-12,58.8,A
2015-10-13,43.5,A
2015-10-14,37.0,A
2015-10-15,39.9,A
2015-10-16,1190.0,A
2015-10-17,393.0,A
2015-10-18,286.0,A
2015-10-19,83.8,A
2015-10-20,61.0,A
2015-10-21,60.2,A
2015-10-22,66.8,A
2015-10-23,46.5,A
2015-10-24,41.4,A
2015-10-25,35.6,A
2015-10-26,31.4,A
2015-10-27,29.8,A
2015-10-28,32.9,A
2015-10-29,53.8,A
2015-10-30,36.9,A
2015-10-31,28.5,A
2015-11-01,25.0,A
2015-11-02,24.2,A
2015-11-03,32.9,A
2015-11-04,25.3,A
2015-11-05,117.0,A
2015-11-06,287.0,A
2015-11-07,121.0,A
2015-11-08,433.0,A
2015-11-09,1080.0,A
2015-11-10,918.0,A
2015-11-11,607.0,A
2015-11-12,2340.0,A
2015-11-13,1690.0,A
2015-11-14,697.0,A
2015-11-15,273.0,A
2015-11-16,184.0,A
2015-11-17,166.0,A
2015-11-18,168.0,A
2015-11-19,932.0,A
2015-11-20,695.0,A
2015-11-21,178.0,A
2015-11-22,94.4,A
2015-11-23,73.0,A
2015-11-24,57.1,A
2015-11-25,48.1,A
2015-11-26,43.0,A
2015-11-27,119.0,A
2015-11-28,305.0,A
2015-11-29,224.0,A
2015-11-30,77.1,A
2015-12-01,58.6,A
2015-12-02,59.1,A
2015-12-03,50.4,A
2015-12-04,44.9,A
2015-12-05,38.4,A
2015-12-06,33.3,A
2015-12-07,30.2,A
2015-12-08,27.8,A
2015-12-09,26.7,A
2015-12-10,64.5,A
2015-12-11,67.0,A
2015-12-12,41.2,A
2015-12-13,46.7,A
2015-12-14,68.3,A
2015-12-15,182.0,A
2015-12-16,174.0,A
2015-12-17,88.3,A
2015-12-18,195.0,A
2015-12-19,548.0,A
2015-12-20,736.0,A
2015-12-21,812.0,A
2015-12-22,631.0,A
2015-12-23,326.0,A
2015-12-24,135.0,A
2015-12-25,144.0,A
2015-12-26,150.0,A
2015-12-27,93.1,A
2015-12-28,321.0,A
2015-12-29,92.9,A
2015-12-30,63.2,A
2015-12-31,50.7,A
2016-01-01,43.2,A
2016-01-02,39.0,A
2016-01-03,33.7,A
2016-01-04,30.2,A
2016-01-05,27.5,A
2016-01-06,31.0,A
2016-01-07,36.4,A
2016-01-08,27.0,A
2016-01-09,24.1,A
2016-01-10,21.8,A
2016-01-11,20.1,A
2016-01-12,19.0,A
2016-01-13,17.9,A
2016-01-14,17.0,A
2016-01-15,16.2,A
2016-01-16,15.5,A
2016-01-17,14.8,A
2016-01-18,14.3,A
2016-01-19,13.8,A
2016-01-20,13.3,A
2016-01-21,13.4,A
2016-01-22,13.9,A
2016-01-23,15.0,A
2016-01-24,13.1,A
2016-01-25,12.3,A
2016-01-26,11.8,A
2016-01-27,11.4,A
2016-01-28,11.1,A
2016-01-29,11.0,A
2016-01-30,10.7,A
2016-01-31,10.3,A
2016-02-01,10.6,A
2016-02-02,11.3,A
2016-02-03,10.3,A
2016-02-04,9.99,A
2016-02-05,10.5,A
2016-02-06,10.1,A
2016-02-07,9.78,A
2016-02-08,9.53,A
2016-02-09,9.38,A
2016-02-10,9.25,A
2016-02-11,9.08,A
2016-02-12,8.97,A
