LocalDateTime,DataValue
8/1/2015 0:00,8.9
8/2/2015 0:00,44.2
8/3/2015 0:00,86.4
8/4/2015 0:00,9.4
8/5/2015 0:00,14.5
8/6/2015 0:00,7.6
8/7/2015 0:00,33.3
8/8/2015 0:00,14.5
8/9/2015 0:00,3.6
8/10/2015 0:00,0.5
8/11/2015 0:00,4.3
8/12/2015 0:00,19.3
8/13/2015 0:00,50.8
8/14/2015 0:00,172.7
8/15/2015 0:00,48
8/16/2015 0:00,0
8/17/2015 0:00,7.9
8/18/2015 0:00,72.9
8/19/2015 0:00,7.9
8/20/2015 0:00,0
8/21/2015 0:00,19.1
8/22/2015 0:00,76.2
8/23/2015 0:00,0
8/24/2015 0:00,29.2
8/25/2015 0:00,4.1
8/26/2015 0:00,11.4
8/27/2015 0:00,0
8/28/2015 0:00,0
8/29/2015 0:00,0.3
8/30/2015 0:00,6.4
8/31/2015 0:00,0
9/1/2015 0:00,0
9/2/2015 0:00,0
9/3/2015 0:00,11.4
9/4/2015 0:00,0.8
9/5/2015 0:00,2
9/6/2015 0:00,0
9/7/2015 0:00,30.5
9/8/2015 0:00,0
9/9/2015 0:00,15
9/10/2015 0:00,7.4
9/11/2015 0:00,10.9
9/12/2015 0:00,5.1
9/13/2015 0:00,44.5
9/14/2015 0:00,27.4
9/15/2015 0:00,4.3
9/16/2015 0:00,61
9/17/2015 0:00,74.9
9/18/2015 0:00,36.1
9/19/2015 0:00,46.7
9/20/2015 0:00,108
9/21/2015 0:00,120.7
9/22/2015 0:00,7.9
9/23/2015 0:00,10.2
9/24/2015 0:00,4.3
9/25/2015 0:00,12.4
9/26/2015 0:00,127.3
9/27/2015 0:00,19.8
9/28/2015 0:00,225
9/29/2015 0:00,41.9
9/30/2015 0:00,17.8
10/1/2015 0:00,1
10/2/2015 0:00,0.5
10/3/2015 0:00,3
10/4/2015 0:00,114.3
10/5/2015 0:00,2
10/6/2015 0:00,0
10/7/2015 0:00,0.3
10/8/2015 0:00,0
10/9/2015 0:00,0.3
10/10/2015 0:00,10.9
10/11/2015 0:00,31
10/12/2015 0:00,0.8
10/13/2015 0:00,0
10/14/2015 0:00,0.5
10/15/2015 0:00,3.8
10/16/2015 0:00,95.3
10/17/2015 0:00,77.5
10/18/2015 0:00,14.7
10/19/2015 0:00,0.5
10/20/2015 0:00,5.1
10/21/2015 0:00,10.7
10/22/2015 0:00,31.2
10/23/2015 0:00,1.3
10/24/2015 0:00,5.1
10/25/2015 0:00,0
10/26/2015 0:00,0
10/27/2015 0:00,2.3
10/28/2015 0:00,19.6
10/29/2015 0:00,17.8
10/30/2015 0:00,0
10/31/2015 0:00,0
11/1/2015 0:00,0.8
11/2/2015 0:00,0.5
11/3/2015 0:00,10.2
11/4/2015 0:00,5.6
11/5/2015 0:00,12.7
11/6/2015 0:00,50.3
11/7/2015 0:00,19.6
11/8/2015 0:00,16
11/9/2015 0:00,82
11/10/2015 0:00,40.1
11/11/2015 0:00,101.1
11/12/2015 0:00,132.1
11/13/2015 0:00,86.4
11/14/2015 0:00,94.5
11/15/2015 0:00,22.1
11/16/2015 0:00,16.3
11/17/2015 0:00,37.1
11/18/2015 0:00,13.7
11/19/2015 0:00,88.4
11/20/2015 0:00,54.1
11/21/2015 0:00,18
11/22/2015 0:00,0
11/23/2015 0:00,2.3
11/24/2015 0:00,0
11/25/2015 0:00,0
11/26/2015 0:00,6.9
11/27/2015 0:00,27.7
11/28/2015 0:00,66.3
11/29/2015 0:00,24.1
11/30/2015 0:00,8.4
12/1/2015 0:00,6.6
12/2/2015 0:00,14.7
12/3/2015 0:00,5.8
12/4/2015 0:00,0
12/5/2015 0:00,0
12/6/2015 0:00,0
12/7/2015 0:00,0.5
12/8/2015 0:00,1
12/9/2015 0:00,1.3
12/10/2015 0:00,20.3
12/11/2015 0:00,22.6
12/12/2015 0:00,1.3
12/13/2015 0:00,2
12/14/2015 0:00,7.4
12/15/2015 0:00,20.1
12/16/2015 0:00,25.1
12/17/2015 0:00,8.1
12/18/2015 0:00,26.9
12/19/2015 0:00,40.9
12/20/2015 0:00,59.7
12/21/2015 0:00,48.8
12/22/2015 0:00,29.2
12/23/2015 0:00,95.3
12/24/2015 0:00,4.3
12/25/2015 0:00,14
12/26/2015 0:00,20.6
12/27/2015 0:00,7.1
12/28/2015 0:00,51.3
12/29/2015 0:00,0.8
12/30/2015 0:00,0
12/31/2015 0:00,1.3
1/1/2016 0:00,0
1/2/2016 0:00,5.6
1/3/2016 0:00,0
1/4/2016 0:00,0
1/5/2016 0:00,0
1/6/2016 0:00,7.4
1/7/2016 0:00,9.4
1/8/2016 0:00,0
1/9/2016 0:00,0
1/10/2016 0:00,0
1/11/2016 0:00,0.8
1/12/2016 0:00,3.3
1/13/2016 0:00,0
1/14/2016 0:00,0
1/15/2016 0:00,0
1/16/2016 0:00,0
1/17/2016 0:00,0
1/18/2016 0:00,0
1/19/2016 0:00,0
1/20/2016 0:00,0
1/21/2016 0:00,1.8
1/22/2016 0:00,15
1/23/2016 0:00,15.5
1/24/2016 0:00,0
1/25/2016 0:00,0
1/26/2016 0:00,0
1/27/2016 0:00,0
1/28/2016 0:00,0
1/29/2016 0:00,0
1/30/2016 0:00,3.8
1/31/2016 0:00,0
2/1/2016 0:00,3.6
2/2/2016 0:00,11.4
2/3/2016 0:00,0
2/4/2016 0:00,0.8
2/5/2016 0:00,5.1
2/6/2016 0:00,15.2
2/7/2016 0:00,0.5
2/8/2016 0:00,0
2/9/2016 0:00,0
2/10/2016 0:00,0
2/11/2016 0:00,0
2/12/2016 0:00,0
2/13/2016 0:00,1
2/14/2016 0:00,0
2/15/2016 0:00,6.9
2/16/2016 0:00,6.1
2/17/2016 0:00,12.4
2/18/2016 0:00,30
2/19/2016 0:00,11.7
2/20/2016 0:00,0
2/21/2016 0:00,0
2/22/2016 0:00,0.3
2/23/2016 0:00,2
2/24/2016 0:00,23.9
2/25/2016 0:00,0
2/26/2016 0:00,0.3
2/27/2016 0:00,0
2/28/2016 0:00,0
2/29/2016 0:00,0.3
3/1/2016 0:00,0
3/2/2016 0:00,0
3/3/2016 0:00,2
3/4/2016 0:00,0.5
3/5/2016 0:00,1
3/6/2016 0:00,0
3/7/2016 0:00,0
3/8/2016 0:00,0
3/9/2016 0:00,8.1
3/10/2016 0:00,0
3/11/2016 0:00,2
3/12/2016 0:00,78.7
3/13/2016 0:00,53.6
3/14/2016 0:00,18
3/15/2016 0:00,25.1
3/16/2016 0:00,0
