datetime,discharge,flag
2015-08-01,2.23,A
2015-08-02,2.07,A
2015-08-03,1.95,A
2015-08-04,1.96,A
2015-08-05,2.42,A
2015-08-06,3.29,A
2015-08-07,3.15,A
2015-08-08,2.41,A
2015-08-09,2.11,A
2015-08-10,2.12,A
2015-08-11,1.94,A
2015-08-12,4.07,A
2015-08-13,3.07,A
2015-08-14,2.61,A
2015-08-15,10.2,A
2015-08-16,6.02,A
2015-08-17,21.9,A
2015-08-18,65.4,A
2015-08-19,16.8,A
2015-08-20,10.3,A
2015-08-21,14.1,A
2015-08-22,4.58,A
2015-08-23,52.5,A
2015-08-24,257.0,A
2015-08-25,26.4,A
2015-08-26,21.0,A
2015-08-27,21.2,A
2015-08-28,8.38,A
2015-08-29,5.84,A
2015-08-30,4.75,A
2015-08-31,4.56,A
2015-09-01,7.61,A
2015-09-02,7.58,A
2015-09-03,6.09,A
2015-09-04,21.5,A
2015-09-05,15.0,A
2015-09-06,5.82,A
2015-09-07,4.11,A
2015-09-08,3.24,A
2015-09-09,2.97,A
2015-09-10,2.91,A
2015-09-11,17.5,A
2015-09-12,31.4,A
2015-09-13,7.14,A
2015-09-14,28.0,A
2015-09-15,444.0,A
2015-09-16,53.7,A
2015-09-17,22.4,A
2015-09-18,23.4,A
2015-09-19,15.3,A
2015-09-20,9.94,A
2015-09-21,8.63,A
2015-09-22,14.6,A
2015-09-23,11.0,A
2015-09-24,11.7,A
2015-09-25,8.79,A
2015-09-26,34.3,A
2015-09-27,88.8,A
2015-09-28,164.0,A
2015-09-29,33.6,A
2015-09-30,26.7,A
2015-10-01,18.8,A
2015-10-02,13.9,A
2015-10-03,12.9,A
2015-10-04,31.8,A
2015-10-05,307.0,A
2015-10-06,65.7,A
2015-10-07,30.2,A
2015-10-08,21.4,A
2015-10-09,16.4,A
2015-10-10,13.3,A
2015-10-11,64.0,A
2015-10-12,42.5,A
2015-10-13,44.8,A
2015-10-14,91.9,A
2015-10-15,93.7,A
2015-10-16,37.0,A
2015-10-17,64.9,A
2015-10-18,42.4,A
2015-10-19,23.3,A
2015-10-20,30.4,A
2015-10-21,21.0,A
2015-10-22,16.3,A
2015-10-23,13.7,A
2015-10-24,11.8,A
2015-10-25,10.4,A
2015-10-26,9.47,A
2015-10-27,14.5,A
2015-10-28,11.8,A
2015-10-29,11.3,A
2015-10-30,9.18,A
2015-10-31,7.89,A
2015-11-01,15.1,A
2015-11-02,8.6,A
2015-11-03,6.15,A
2015-11-04,5.57,A
2015-11-05,29.4,A
2015-11-06,18.1,A
2015-11-07,36.0,A
2015-11-08,37.8,A
2015-11-09,37.2,A
2015-11-10,19.9,A
2015-11-11,13.0,A
2015-11-12,15.4,A
2015-11-13,14.9,A
2015-11-14,31.0,A
2015-11-15,15.8,A
2015-11-16,12.7,A
2015-11-17,9.06,A
2015-11-18,9.64,A
2015-11-19,10.6,A
2015-11-20,135.0,A
2015-11-21,61.4,A
2015-11-22,31.4,A
2015-11-23,225.0,A
2015-11-24,41.1,A
2015-11-25,41.5,A
2015-11-26,313.0,A
2015-11-27,144.0,A
2015-11-28,49.3,A
2015-11-29,38.4,A
2015-11-30,27.2,A
2015-12-01,21.4,A
2015-12-02,20.0,A
2015-12-03,27.4,A
2015-12-04,16.9,A
2015-12-05,13.7,A
2015-12-06,12.1,A
2015-12-07,10.7,A
2015-12-08,9.9,A
2015-12-09,9.17,A
2015-12-10,11.8,A
2015-12-11,16.5,A
2015-12-12,15.1,A
2015-12-13,9.47,A
2015-12-14,7.77,A
2015-12-15,7.79,A
2015-12-16,7.49,A
2015-12-17,9.91,A
2015-12-18,9.07,A
2015-12-19,20.6,A
2015-12-20,12.8,A
2015-12-21,8.43,A
2015-12-22,34.7,A
2015-12-23,39.8,A
2015-12-24,14.3,A
2015-12-25,12.8,A
2015-12-26,46.3,A
2015-12-27,53.1,A
2015-12-28,25.1,A
2015-12-29,13.0,A
2015-12-30,9.98,A
2015-12-31,8.55,A
2016-01-01,7.23,A
2016-01-02,7.24,A
2016-01-03,5.92,A
2016-01-04,4.84,A
2016-01-05,5.05,A
2016-01-06,9.6,A
2016-01-07,9.46,A
2016-01-08,5.4,A
2016-01-09,4.21,A
2016-01-10,3.82,A
2016-01-11,3.42,A
2016-01-12,3.14,A
2016-01-13,2.92,A
2016-01-14,2.76,A
2016-01-15,3.05,A
2016-01-16,3.28,A
2016-01-17,3.19,A
2016-01-18,2.58,A
2016-01-19,2.34,A
2016-01-20,2.29,A
2016-01-21,3.22,A
2016-01-22,3.41,A
2016-01-23,2.35,A
2016-01-24,2.02,A
2016-01-25,4.83,A
2016-01-26,6.05,A
2016-01-27,2.63,A
2016-01-28,1.97,A
2016-01-29,1.74,A
2016-01-30,1.61,A
2016-01-31,1.71,A
2016-02-01,2.02,A
2016-02-02,2.6,A
2016-02-03,4.56,A
2016-02-04,3.42,A
2016-02-05,2.29,A
2016-02-06,1.73,A
2016-02-07,5.16,A
2016-02-08,4.99,A
2016-02-09,2.24,A
2016-02-10,1.6,A
2016-02-11,1.35,A
2016-02-12,1.25,A
2016-02-13,1.18,A
2016-02-14,1.22,A
2016-02-15,1.11,A
2016-02-16,1.03,A
2016-02-17,1.33,A
2016-02-18,1.68,A
2016-02-19,1.45,A
2016-02-20,1.37,A
2016-02-21,1.85,A
2016-02-22,1.59,A
2016-02-23,1.4,A
2016-02-24,1.52,A
2016-02-25,1.46,A
2016-02-26,1.16,A
2016-02-27,1.03,A
2016-02-28,1.07,A
2016-02-29,1.09,A
2016-03-01,0.91,A
2016-03-02,0.96,A
2016-03-03,0.93,A
2016-03-04,0.72,A
2016-03-05,0.59,A
2016-03-06,0.52,A
2016-03-07,0.45,A
2016-03-08,0.57,A
2016-03-09,10.5,A
2016-03-10,3.36,A
2016-03-11,1.58,A
2016-03-12,0.99,A
2016-03-13,0.78,A
2016-03-14,0.77,A
2016-03-15,11.0,A
2016-03-16,17.8,A
2016-03-17,9.48,A
2016-03-18,5.36,A
2016-03-19,9.67,A
2016-03-20,3.45,A
2016-03-21,2.17,A
2016-03-22,1.64,A
2016-03-23,1.18,A
2016-03-24,0.89,A
2016-03-25,0.72,A
2016-03-26,0.66,A
2016-03-27,0.69,A
2016-03-28,0.61,A
2016-03-29,0.51,A
2016-03-30,0.4,A
2016-03-31,0.4,A
2016-04-01,0.37,A
2016-04-02,0.26,A
2016-04-03,0.17,A
2016-04-04,0.13,A
2016-04-05,4.5,A
2016-04-06,2.84,A
2016-04-07,25.3,A
2016-04-08,20.2,A
2016-04-09,4.88,A
2016-04-10,2.46,A
2016-04-11,2.13,A
2016-04-12,3.02,A
2016-04-13,2.52,A
2016-04-14,1.68,A
2016-04-15,1.95,A
2016-04-16,2.54,A
2016-04-17,88.9,A
2016-04-18,126.0,A
2016-04-19,18.4,A
2016-04-20,6.86,A
2016-04-21,4.14,A
2016-04-22,3.54,A
2016-04-23,3.15,A
2016-04-24,4.78,A
2016-04-25,6.45,A
2016-04-26,3.41,A
2016-04-27,2.52,A
2016-04-28,2.65,A
2016-04-29,2.34,A
2016-04-30,1.74,A
2016-05-01,1.53,A
2016-05-02,1.51,A
2016-05-03,1.51,A
2016-05-04,61.8,A
2016-05-05,27.5,A
2016-05-06,6.7,A
2016-05-07,239.0,A
2016-05-08,35.9,A
2016-05-09,27.2,A
2016-05-10,49.6,A
2016-05-11,26.5,A
2016-05-12,14.6,A
2016-05-13,9.07,A
2016-05-14,8.92,A
2016-05-15,11.0,A
2016-05-16,6.67,A
2016-05-17,4.83,A
2016-05-18,18.7,A
2016-05-19,14.7,A
2016-05-20,10.4,A
2016-05-21,11.3,A
2016-05-22,10.7,A
2016-05-23,7.94,A
2016-05-24,5.54,A
2016-05-25,4.37,A
2016-05-26,25.2,A
2016-05-27,18.1,A
2016-05-28,7.14,A
2016-05-29,10.6,A
2016-05-30,5.84,A
2016-05-31,175.0,A
2016-06-01,50.6,A
2016-06-02,26.7,A
2016-06-03,13.3,A
2016-06-04,9.35,A
2016-06-05,7.75,A
2016-06-06,7.17,A
2016-06-07,19.1,A
2016-06-08,8.08,A
2016-06-09,18.5,A
2016-06-10,16.4,A
2016-06-11,12.2,A
2016-06-12,12.7,A
2016-06-13,7.01,A
2016-06-14,9.75,A
2016-06-15,37.4,A
2016-06-16,18.0,A
2016-06-17,31.7,A
2016-06-18,32.2,A
2016-06-19,13.7,A
2016-06-20,13.3,A
2016-06-21,13.1,A
2016-06-22,11.9,A
2016-06-23,9.71,A
2016-06-24,16.5,A
2016-06-25,111.0,A
2016-06-26,26.7,A
2016-06-27,14.1,A
2016-06-28,10.9,A
2016-06-29,10.5,A
2016-06-30,10.4,A
2016-07-01,6.95,A
2016-07-02,5.71,A
2016-07-03,5.42,A
2016-07-04,12.0,A
2016-07-05,34.6,A
2016-07-06,23.6,A
2016-07-07,16.7,A
2016-07-08,11.0,A
2016-07-09,6.9,A
2016-07-10,18.6,A
2016-07-11,13.2,A
2016-07-12,7.42,A
2016-07-13,6.19,A
2016-07-14,23.4,A
2016-07-15,54.0,A
2016-07-16,57.2,A
2016-07-17,24.4,A
2016-07-18,16.9,A
2016-07-19,26.4,A
2016-07-20,18.1,A
2016-07-21,25.7,A
2016-07-22,22.0,A
2016-07-23,13.0,A
2016-07-24,111.0,A
2016-07-25,275.0,A
2016-07-26,40.6,A
2016-07-27,23.5,A
2016-07-28,16.7,A
2016-07-29,13.3,A
2016-07-30,12.0,A
2016-07-31,60.1,A
2016-08-01,175.0,A
2016-08-02,62.3,A
2016-08-03,29.9,A
2016-08-04,69.0,A
2016-08-05,27.9,A
2016-08-06,43.8,A
2016-08-07,218.0,A
2016-08-08,52.2,A
2016-08-09,34.3,A
2016-08-10,24.5,A
2016-08-11,19.4,A
2016-08-12,17.4,A
2016-08-13,15.5,A
2016-08-14,15.7,A
2016-08-15,45.4,A
2016-08-16,19.7,A
2016-08-17,13.1,A
2016-08-18,11.9,A
2016-08-19,56.4,A
2016-08-20,23.5,A
2016-08-21,16.6,A
2016-08-22,162.0,A
2016-08-23,149.0,A
2016-08-24,175.0,A
2016-08-25,39.5,A
2016-08-26,26.8,A
2016-08-27,21.9,A
2016-08-28,90.9,A
2016-08-29,27.6,A
2016-08-30,24.1,A
2016-08-31,35.5,A
2016-09-01,21.7,A
2016-09-02,16.0,A
2016-09-03,23.1,A
2016-09-04,24.7,A
2016-09-05,14.5,A
2016-09-06,13.0,A
2016-09-07,37.2,A
2016-09-08,20.2,A
2016-09-09,18.7,A
2016-09-10,23.5,A
2016-09-11,21.5,A
2016-09-12,83.7,A
2016-09-13,76.5,A
2016-09-14,53.3,A
2016-09-15,51.4,A
2016-09-16,32.5,A
2016-09-17,43.1,A
2016-09-18,26.7,A
2016-09-19,18.7,A
2016-09-20,28.2,A
2016-09-21,19.2,A
2016-09-22,50.1,A
2016-09-23,29.0,A
2016-09-24,20.0,A
2016-09-25,13.9,A
2016-09-26,14.0,A
2016-09-27,14.0,A
2016-09-28,11.1,A
2016-09-29,27.5,A
2016-09-30,17.7,A
2016-10-01,17.4,A
2016-10-02,20.1,A
2016-10-03,17.7,A
2016-10-04,13.6,A
2016-10-05,10.2,A
2016-10-06,9.48,A
2016-10-07,8.21,A
2016-10-08,7.43,A
2016-10-09,6.71,A
2016-10-10,6.39,A
2016-10-11,17.1,A
2016-10-12,8.56,A
2016-10-13,6.2,A
2016-10-14,5.45,A
2016-10-15,5.19,A
2016-10-16,4.81,A
2016-10-17,4.68,A
2016-10-18,4.95,A
2016-10-19,6.09,A
2016-10-20,5.21,A
2016-10-21,6.48,A
2016-10-22,18.8,A
2016-10-23,6.96,A
2016-10-24,4.73,A
2016-10-25,4.27,A
2016-10-26,4.67,A
2016-10-27,48.4,A
2016-10-28,8.84,A
2016-10-29,9.92,A
2016-10-30,16.0,A
