LocalDateTime,DataValue
8/1/2015 0:00,0.5
8/2/2015 0:00,0.3
8/3/2015 0:00,0
8/4/2015 0:00,0.3
8/5/2015 0:00,12.4
8/6/2015 0:00,2
8/7/2015 0:00,0.8
8/8/2015 0:00,0.5
8/9/2015 0:00,2.3
8/10/2015 0:00,1.8
8/11/2015 0:00,1
8/12/2015 0:00,2
8/13/2015 0:00,-9999
8/14/2015 0:00,-9999
8/15/2015 0:00,2
8/16/2015 0:00,0.5
8/17/2015 0:00,2
8/18/2015 0:00,1.3
8/19/2015 0:00,0.3
8/20/2015 0:00,0.3
8/21/2015 0:00,10.9
8/22/2015 0:00,0
8/23/2015 0:00,0
8/24/2015 0:00,35.3
8/25/2015 0:00,0.5
8/26/2015 0:00,2.5
8/27/2015 0:00,0.3
8/28/2015 0:00,1.3
8/29/2015 0:00,0.3
8/30/2015 0:00,0.3
8/31/2015 0:00,3.8
9/1/2015 0:00,5.6
9/2/2015 0:00,4.3
9/3/2015 0:00,0.5
9/4/2015 0:00,27.9
9/5/2015 0:00,-9999
9/6/2015 0:00,-9999
9/7/2015 0:00,0
9/8/2015 0:00,0.3
9/9/2015 0:00,5.1
9/10/2015 0:00,4.1
9/11/2015 0:00,3.6
9/12/2015 0:00,11.4
9/13/2015 0:00,0.5
9/14/2015 0:00,0.5
9/15/2015 0:00,43.4
9/16/2015 0:00,2.3
9/17/2015 0:00,0.8
9/18/2015 0:00,15.7
9/19/2015 0:00,1.5
9/20/2015 0:00,0.3
9/21/2015 0:00,0.3
9/22/2015 0:00,3.8
9/23/2015 0:00,0.5
9/24/2015 0:00,4.3
9/25/2015 0:00,2.3
9/26/2015 0:00,6.1
9/27/2015 0:00,6.1
9/28/2015 0:00,13.5
9/29/2015 0:00,1
9/30/2015 0:00,16.5
10/1/2015 0:00,5.6
10/2/2015 0:00,0.5
10/3/2015 0:00,1.3
10/4/2015 0:00,1
10/5/2015 0:00,17.5
10/6/2015 0:00,0.8
10/7/2015 0:00,1.8
10/8/2015 0:00,1
10/9/2015 0:00,0
10/10/2015 0:00,0
10/11/2015 0:00,4.6
10/12/2015 0:00,0.3
10/13/2015 0:00,-9999
10/14/2015 0:00,-9999
10/15/2015 0:00,9.9
10/16/2015 0:00,1.3
10/17/2015 0:00,7.4
10/18/2015 0:00,3.3
10/19/2015 0:00,0.3
10/20/2015 0:00,6.1
10/21/2015 0:00,1.3
10/22/2015 0:00,0.8
10/23/2015 0:00,1
10/24/2015 0:00,-9999
10/25/2015 0:00,-9999
10/26/2015 0:00,0.5
10/27/2015 0:00,6.6
10/28/2015 0:00,0
10/29/2015 0:00,1
10/30/2015 0:00,0.3
10/31/2015 0:00,0
11/1/2015 0:00,7.1
11/2/2015 0:00,0.3
11/3/2015 0:00,0.3
11/4/2015 0:00,1
11/5/2015 0:00,17.8
11/6/2015 0:00,11.7
11/7/2015 0:00,4.1
11/8/2015 0:00,11.2
11/9/2015 0:00,6.4
11/10/2015 0:00,3.6
11/11/2015 0:00,6.9
11/12/2015 0:00,5.1
11/13/2015 0:00,4.1
11/14/2015 0:00,20.3
11/15/2015 0:00,4.6
11/16/2015 0:00,6.6
11/17/2015 0:00,0.5
11/18/2015 0:00,2.3
11/19/2015 0:00,0.3
11/20/2015 0:00,31.8
11/21/2015 0:00,17.3
11/22/2015 0:00,3.8
11/23/2015 0:00,31
11/24/2015 0:00,1.3
11/25/2015 0:00,3.6
11/26/2015 0:00,-9999
11/27/2015 0:00,-9999
11/28/2015 0:00,1.3
11/29/2015 0:00,4.8
11/30/2015 0:00,5.1
12/1/2015 0:00,0.5
12/2/2015 0:00,6.1
12/3/2015 0:00,6.9
